|CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE|IOEB
574|2107258|2015.0|29.0|3.8
575|2107308|2015.0|25.0|3.2
576|2107357|2015.0|58.0|3.5
577|2107407|2015.0|58.0|0.0
578|2107456|2015.0|31.0|2.7
579|2107506|2015.0|199.0|3.7
580|2107605|2015.0|34.0|2.8
581|2107704|2015.0|110.0|3.8
582|2107803|2015.0|61.0|3.1
583|2107902|2015.0|92.0|3.7
584|2108009|2015.0|112.0|3.8
585|2108058|2015.0|70.0|3.1
586|2108108|2015.0|33.0|3.2
587|2108207|2015.0|260.0|3.8
588|2108256|2015.0|61.0|2.5
589|2108306|2015.0|50.0|2.6
590|2108405|2015.0|30.0|0.0
591|2108454|2015.0|72.0|3.4
592|2108504|2015.0|172.0|0.0
593|2108603|2015.0|393.0|3.8
594|2108702|2015.0|168.0|3.1
595|2108801|2015.0|61.0|3.5
596|2108900|2015.0|144.0|3.7
597|2109007|2015.0|248.0|4.4
598|2109056|2015.0|25.0|3.3
599|2109106|2015.0|211.0|3.4
600|2109205|2015.0|26.0|3.3
601|2109239|2015.0|13.0|3.1
602|2109270|2015.0|84.0|3.2
603|2109304|2015.0|42.0|2.7
604|2109403|2015.0|36.0|2.4
605|2109452|2015.0|39.0|3.3
606|2109502|2015.0|124.0|3.3
607|2109551|2015.0|51.0|3.6
608|2109601|2015.0|175.0|3.9
609|2109700|2015.0|29.0|3.2
610|2109759|2015.0|7.0|3.2
611|2109809|2015.0|43.0|2.6
612|2109908|2015.0|395.0|3.9
613|2110005|2015.0|258.0|3.1
614|2110039|2015.0|85.0|3.5
615|2110104|2015.0|83.0|3.1
616|2110203|2015.0|79.0|3.7
617|2110237|2015.0|20.0|3.2
618|2110278|2015.0|24.0|3.0
619|2110302|2015.0|48.0|3.4
620|2110401|2015.0|139.0|2.9
621|2110500|2015.0|42.0|3.2
622|2110609|2015.0|62.0|3.4
623|2110658|2015.0|18.0|3.3
624|2110708|2015.0|227.0|3.6
625|2110807|2015.0|59.0|3.2
626|2110856|2015.0|33.0|3.6
627|2110906|2015.0|27.0|3.3
628|2111003|2015.0|21.0|2.6
629|2111029|2015.0|109.0|2.9
630|2111052|2015.0|46.0|3.1
631|2111078|2015.0|84.0|3.2
632|2111102|2015.0|239.0|4.2
633|2111201|2015.0|741.0|3.7
634|2111250|2015.0|30.0|3.4
635|2111300|2015.0|4783.0|3.9
636|2111409|2015.0|96.0|0.0
637|2111508|2015.0|44.0|3.5
638|2111532|2015.0|83.0|3.4
639|2111573|2015.0|39.0|3.7
640|2111607|2015.0|272.0|4.3
641|2111631|2015.0|9.0|3.3
642|2111672|2015.0|31.0|0.0
643|2111706|2015.0|53.0|2.7
644|2111722|2015.0|20.0|0.0
645|2111748|2015.0|36.0|3.2
646|2111763|2015.0|87.0|3.5
647|2111789|2015.0|22.0|3.0
648|2111805|2015.0|87.0|3.5
649|2111904|2015.0|77.0|3.6
650|2111953|2015.0|29.0|3.4
651|2112001|2015.0|23.0|3.5
652|2112100|2015.0|79.0|3.2
653|2112209|2015.0|478.0|3.6
654|2112233|2015.0|87.0|3.8
655|2112274|2015.0|68.0|3.3
656|2112308|2015.0|268.0|3.5
657|2112407|2015.0|27.0|2.6
658|2112456|2015.0|36.0|2.5
659|2112506|2015.0|110.0|3.3
660|2112605|2015.0|64.0|3.2
661|2112704|2015.0|399.0|3.5
662|2112803|2015.0|318.0|3.1
663|2112852|2015.0|52.0|3.9
664|2112902|2015.0|91.0|3.8
665|2113009|2015.0|172.0|3.7
666|2114007|2015.0|174.0|3.3
667|2200053|2015.0|29.0|3.7
668|2200103|2015.0|27.0|3.5
669|2200202|2015.0|123.0|4.2
670|2200251|2015.0|18.0|3.6
671|2200277|2015.0|45.0|3.9
672|2200301|2015.0|90.0|3.7
673|2200400|2015.0|302.0|3.8
674|2200459|2015.0|44.0|3.3
675|2200509|2015.0|58.0|3.1
676|2200608|2015.0|75.0|3.5
677|2200707|2015.0|73.0|3.7
678|2200806|2015.0|31.0|3.3
679|2200905|2015.0|36.0|3.6
680|2200954|2015.0|30.0|0.0
681|2201002|2015.0|32.0|3.1
682|2201051|2015.0|18.0|3.2
683|2201101|2015.0|19.0|3.2
684|2201150|2015.0|33.0|3.2
685|2201176|2015.0|50.0|3.6
686|2201200|2015.0|465.0|3.5
687|2201309|2015.0|20.0|0.0
688|2201408|2015.0|59.0|3.4
689|2201507|2015.0|38.0|3.6
690|2201556|2015.0|74.0|4.0
691|2201572|2015.0|55.0|4.4
692|2201606|2015.0|106.0|4.1
693|2201705|2015.0|59.0|3.3
694|2201739|2015.0|18.0|3.6
695|2201770|2015.0|88.0|4.0
696|2201804|2015.0|23.0|0.0
697|2201903|2015.0|238.0|3.6
698|2201919|2015.0|89.0|4.1
699|2201929|2015.0|27.0|3.2
700|2201945|2015.0|30.0|3.4
701|2201960|2015.0|59.0|4.2
702|2201988|2015.0|17.0|3.2
703|2202000|2015.0|130.0|3.6
704|2202026|2015.0|91.0|4.7
705|2202059|2015.0|29.0|3.8
706|2202075|2015.0|29.0|0.0
707|2202083|2015.0|62.0|4.0
708|2202091|2015.0|74.0|4.2
709|2202109|2015.0|33.0|2.8
710|2202117|2015.0|10.0|3.2
711|2202133|2015.0|93.0|4.3
712|2202174|2015.0|17.0|3.0
713|2202208|2015.0|375.0|4.0
714|2202251|2015.0|66.0|2.8
715|2202307|2015.0|78.0|3.3
716|2202406|2015.0|119.0|4.0
